            SourceId      RAdeg     DEdeg  o_Gmag  o_GBPmag  o_GRPmag          Per    Gmag  GBPmag  GRPmag      R21      R31    Phi21    Phi31    Plx  e_Plx  E(BP/RP)   epsi  Signiepsi    RUWE       Class   New     Notes
 2947530506428832768  101.64608 -14.92456      19        17        17     0.095370  12.677  12.997  12.220 -999.000 -999.000 -999.000 -999.000  0.855  0.030     1.205  0.000      0.000   0.965       OTHER  -999         a
 3315820030750497536   89.13874   1.70906      14        14        14     0.273320  16.263  17.001  15.385    0.086    0.131    0.838    0.395  0.415  0.078     1.344  0.000      0.000   1.013         RRC  -999      -999
 4044404165342126848  276.27275 -34.44904      17        14        15     1.110990  15.780  16.080  15.320    0.418 -999.000    4.870 -999.000  0.058  0.050     1.241  0.000      0.000   0.938      ACEP_F  -999         d
 4296338318281270144  293.05243   8.93232      32        28        32     0.445840  16.755  17.361  15.992    0.136    0.133    1.688    2.749  0.123  0.076     1.279  0.000      0.000   1.032       OTHER  -999      -999
 6641655551574932992  298.65060 -53.31556      32        31        31     0.453790  13.830  14.016  13.499    0.130 -999.000    2.243 -999.000  0.177  0.026     1.199  0.108      3.370   1.228         RRC     N       f,g
 5631368811358200320  141.58416 -31.61573      19        16        17     0.465190  16.371  16.604  15.981    0.229 -999.000    2.012 -999.000  0.018  0.084     1.245  0.167      1.133   1.079       OTHER  -999      -999
 4437777711669788416  244.96412   5.29721      39        33        35     0.469760  16.403  16.598  16.067    0.078    0.074    2.393    5.797  0.046  0.066     1.208  0.000      0.000   0.985       OTHER  -999      -999
 4113412916685330304  254.11532 -24.06865      36        30        28     0.476050  16.500  16.869  15.891    0.070    0.082    1.695    5.894  0.107  0.086     1.247  0.000      0.000   1.003       OTHER  -999      -999
 4311050922079027584  285.55926  10.57317      18        15        13     0.477060  18.337  19.361  17.269    0.158 -999.000    2.451 -999.000  0.064  0.207     1.447  0.550      1.565   1.051         ---  -999    NC:c,e
 3099348185775497728  101.98331  -7.41384      19        17        16     0.481990  14.245  14.649  13.646 -999.000 -999.000 -999.000 -999.000  0.229  0.032     1.237  0.000      0.000   0.911        RRAB  -999         a
 4114405122877842688  257.82295 -23.27459      21        17        19     0.483840  16.982  17.432  16.387    0.186    0.425    1.914    1.335 -0.127  0.128     1.311  0.000      0.000   1.023        RRAB  -999      -999
 5958267083020200448  263.74736 -44.83491      22        21        22     0.485820  15.313  15.668  14.777    0.126 -999.000    1.898 -999.000  0.040  0.041     1.234  0.000      0.000   1.065     DCEP_1O     N      -999
 1454878497455250048  205.55970  28.42065      45        44        42     0.486120  15.315  15.451  14.968    0.090    0.110    2.299    4.807 -0.045  0.035     1.234  0.000      0.000   0.993         RRC  -999         h
 4043821561616680448  270.95217 -31.78211      17        12        14     0.495900  16.681  17.264  15.916    0.473 -999.000    3.912 -999.000  0.039  0.096     1.309  0.159      0.589   1.035        RRAB  -999         a
 6027007317365233920  252.12822 -33.32106      35        31        32     0.509640  17.119  17.791  16.273    0.091 -999.000    2.404 -999.000 -0.018  0.111     1.333  0.061      0.106   1.041       OTHER  -999      -999
 4567278053753143552  260.56273  21.54737      50        47        47     0.512990  15.447  15.631  15.096    0.090    0.117    2.304    5.549  0.030  0.032     1.201  0.000      0.000   1.002       OTHER  -999      -999
 4505713270989483136  281.31161  13.37188      23        21        19     0.515870  15.941  16.386  15.181    0.270    0.432    2.624    1.504  0.064  0.073     1.324  0.448     14.177   1.776        RRAB     N       f,g
 1788934319227880320  319.12344  19.74569      18        16        16     0.517150  13.786  14.054  13.357    0.752 -999.000    3.374 -999.000  0.307  0.040     1.201  0.000      0.000   1.087        RRAB  -999         a
 4047298109961251200  280.46871 -29.86475      15        12        12     0.522920  16.057  16.568  15.701    0.300 -999.000    1.308 -999.000  0.131  0.107     1.303  0.175      1.302   1.091        RRAB  -999       a,d
 4129327552905180672  255.42847 -18.90003      16        15        14     0.524250  15.381  15.740  14.852    0.366 -999.000    1.907 -999.000  0.099  0.069     1.234  0.000      0.000   0.936        RRAB  -999         a
 5265931622060872704   91.44158 -73.00839      22        19        19     0.531130  17.773  18.065  17.329    0.152 -999.000    2.417 -999.000  0.044  0.141     1.234  0.354      1.364   1.114  DCEP_MULTI  -999      -999
 2000302716575369344  338.06707  50.58814      42        35        37     0.531900  17.019  16.949  16.873    0.035 -999.000    2.684 -999.000  0.107  0.074     1.279  0.000      0.000   0.979       OTHER  -999      -999
 6743391300911829120  287.12054 -35.59478      14        13        12     0.532460  15.275  15.490  14.876    0.461 -999.000    2.939 -999.000  0.081  0.059     1.215  0.000      0.000   0.901        RRAB  -999         a
 2422853521974230400    0.07391 -10.22146      37        33        32     1.146780  14.997  15.185  14.752    0.478    0.293    4.104    1.942  0.170  0.054     1.208  0.121      2.049   1.117      ACEP_F  -999       f,g
 4076266530535593472  278.27030 -25.19627      14        12        12     0.534910  15.362  15.700  14.790    0.329 -999.000    2.777 -999.000  0.270  0.057     1.275  0.000      0.000   0.958        RRAB  -999         a
 6710614339593008384  284.75126 -46.42475      15        14        15     0.535180  16.065  16.293  15.631    0.256 -999.000    3.160 -999.000  0.046  0.071     1.179  0.204      1.956   1.165        RRAB  -999         a
 1777139991141078912  335.26682  18.86397      17        13        15     0.542180  17.644  17.933  17.410    0.427 -999.000    4.199 -999.000 -0.115  0.150     1.231  0.179      0.347   1.093        RRAB  -999         a
 4112477232327418752  257.05179 -25.00141      20        17        16     0.542530  17.296  17.754  16.623    0.504 -999.000    3.548 -999.000 -0.030  0.107     1.312  0.000      0.000   0.949        RRAB  -999         a
 6707688680899598336  274.48233 -46.67634      16        13        13     0.542700  14.877  15.014  14.570    0.596    0.305    3.406    1.722  0.121  0.046     1.194  0.057      0.354   1.039        RRAB  -999         a
 6172871347369127040  212.15477 -30.39297      13        12        12     0.546190  16.532  16.783  16.164    0.267 -999.000    3.179 -999.000  0.020  0.097     1.328  0.295      2.406   1.164        RRAB  -999     a,f,h
 4478405971998198784  275.66863   8.28931      16        16        16     1.208700  15.591  15.950  15.112    0.218    0.126    4.898    3.124  0.128  0.049     1.227  0.000      0.000   0.998      ACEP_F  -999         d
 4652801401061740800   72.89387 -73.52919      23        18        16     0.548560  17.879  18.198  17.424    0.171 -999.000    2.498 -999.000  0.110  0.107     1.188  0.000      0.000   1.076     DCEP_1O  -999      -999
 1746868172580228224  320.55433  12.56392      14        13        13     0.551650  14.853  15.139  14.647    0.451 -999.000    3.131 -999.000  0.045  0.053     1.214  0.000      0.000   1.028        RRAB  -999         a
 2613721658154144768  330.29415 -11.40036      14        13        13     0.560780  15.795  16.004  15.412 -999.000 -999.000 -999.000 -999.000  0.026  0.075     1.228  0.145      1.122   1.093        RRAB  -999         a
 4075553570245477888  283.00443 -23.42560      19        18        17     0.561630  16.017  16.532  15.423    0.385 -999.000    3.887 -999.000  0.208  0.065     1.249  0.000      0.000   0.954        RRAB  -999         a
 6719922255280692992  272.40988 -45.34391      17        12        13     0.563310  16.481  16.719  16.018    0.248 -999.000    2.421 -999.000  0.164  0.078     1.287  0.000      0.000   1.079       OTHER  -999      -999
 4087068064011302784  287.43343 -18.77139      18        15        16     0.566020  13.769  14.006  13.351 -999.000 -999.000 -999.000 -999.000  0.217  0.028     1.189  0.000      0.000   0.986        RRAB  -999         a
 4499105274811605120  267.37184  12.23172      17        16        17     0.569230  13.908  14.134  13.522 -999.000 -999.000 -999.000 -999.000  0.110  0.029     1.212  0.043      0.342   1.194        RRAB  -999         a
 6133826693035085696  191.34070 -42.40840      20        18        19     0.569760  15.155  15.430  14.763    0.347 -999.000    3.637 -999.000  0.131  0.043     1.223  0.000      0.000   1.082        RRAB  -999         a
 4040597479946827648  267.71827 -36.03897      16        12        13     0.571070  16.626  17.076  15.764    0.421 -999.000    1.878 -999.000 -0.039  0.104     1.369  0.384      4.361   1.315        RRAB  -999     a,f,h
 1745972070608234112  322.53858  12.22640      16        14        13     0.574970  15.838  16.122  15.434    0.400    0.174    2.946    6.245  0.264  0.066     1.267  0.197      2.144   1.221        RRAB  -999     a,f,h
 3882069038746341760  151.85776  13.94952      14        12        12     0.576810  13.388  13.442  13.212    0.251 -999.000    3.633 -999.000  0.096  0.048     1.182  0.051      0.472   0.986        RRAB  -999         a
   99384413653590400   32.78633  20.44993      16        13        12     0.579920  13.489  13.819  12.980 -999.000 -999.000 -999.000 -999.000  0.234  0.022     1.221  0.000      0.000   0.923        RRAB  -999         a
 2564983026409349120   23.54838   5.89478      16        13        13     0.583020  17.137  17.438  16.824    0.372 -999.000    3.373 -999.000 -0.177  0.122     1.198  0.216      0.879   1.063        RRAB  -999         a
 4076030101140747648  278.95735 -25.49499      16        15        15     0.584420  16.027  16.568  15.310    0.448 -999.000    3.606 -999.000  0.118  0.063     1.310  0.000      0.000   1.034        RRAB  -999         a
 6759012406208927232  288.36545 -29.92083      17        15        15     0.587250  13.722  14.016  13.265 -999.000 -999.000 -999.000 -999.000  0.187  0.030     1.212  0.000      0.000   1.151        RRAB  -999         a
 6743628726704460288  290.26043 -34.87260      15        16        14     0.589950  15.609  15.736  14.996    0.299 -999.000    4.507 -999.000  0.064  0.050     1.227  0.107      0.843   1.148        RRAB  -999         a
 2572634527826961792   26.06467  10.23069      14        13        13     0.590500  15.704  15.912  15.410 -999.000 -999.000 -999.000 -999.000  0.024  0.062     1.217  0.000      0.000   0.933        RRAB  -999         a
 6647271719531588864  295.14256 -48.74847      18        14        15     0.592070  16.514  16.826  16.190    0.443    0.249    2.969    0.703 -0.066  0.083     1.229  0.147      0.833   1.064        RRAB  -999         a
 6725613881551002112  273.34254 -40.96464      17        15        14     0.594340  14.608  14.883  14.187    0.265 -999.000    3.956 -999.000  0.159  0.032     1.212  0.000      0.000   0.974        RRAB  -999         a
 6761093468179213056  283.15330 -30.51984      15        13        13     0.594670  18.025  18.262  17.501    0.349 -999.000    0.918 -999.000  0.064  0.170     1.282  0.216      0.333   1.047        RRAB  -999       a,e
 2584941808153393408   17.09728  13.63915      15        12        13     0.598780  14.650  14.863  14.269    0.247 -999.000    3.802 -999.000  0.151  0.054     1.180  0.000      0.000   1.024        RRAB  -999         a
 4100580340364879488  284.23764 -16.46944      16        15        15     0.599930  15.177  15.707  14.645    0.321 -999.000    3.847 -999.000  0.107  0.045     1.278  0.000      0.000   1.003        RRAB  -999         a
 4073445733415198464  281.00112 -25.36607      17        16        14     0.600920  16.333  16.707  15.706    0.258 -999.000    4.281 -999.000  0.007  0.073     1.261  0.180      1.235   1.107        RRAB  -999         a
 6007797474808044800  230.70618 -35.79255      17        13        16     0.601970  15.721  15.881  15.236    0.355 -999.000    3.492 -999.000  0.043  0.113     1.227  0.000      0.000   1.081        RRAB  -999         a
  334908944015248896   37.36024  39.52898      14        12        13     0.602200  15.880  16.295  15.534    0.387    0.275    3.026    0.892  0.139  0.073     1.277  0.000      0.000   0.953        RRAB  -999         a
 1361898159212555904  262.18341  46.27117      28        22        22     0.602890  18.174  18.418  17.755    0.368 -999.000    5.481 -999.000  0.056  0.121     1.206  0.209      0.370   1.050        RRAB  -999         a
 4178364985531702784  269.48710  -2.76190      14        13        13     0.603890  16.422  17.063  15.658    0.204 -999.000    4.592 -999.000  0.118  0.103     1.303  0.275      2.396   1.143        RRAB  -999     a,f,h
 6096455220523450112  215.09568 -44.53306      15        15        15     0.607100  11.810  12.098  11.372 -999.000 -999.000 -999.000 -999.000  0.540  0.082     1.229  0.000      0.000   0.880        RRAB  -999         a
 2570323560543900032   32.38202  10.16506      15        12        14     0.608200  17.644  17.880  17.162 -999.000 -999.000 -999.000 -999.000 -0.035  0.193     1.266  0.076      0.071   1.027        RRAB  -999         a
 6709801220687185536  279.16036 -44.89925      15        12        12     0.608790  14.803  15.099  14.417    0.610 -999.000    3.850 -999.000  0.110  0.035     1.249  0.000      0.000   1.037        RRAB  -999         a
 2755668678019315200    5.69274  12.42635      21        20        19     0.610450  17.010  17.211  16.559    0.246 -999.000    2.765 -999.000  0.047  0.124     1.261  0.000      0.000   0.985        RRAB  -999         a
 2710315373857215616  336.74780   7.58342      14        13        12     0.611050  13.886  14.202  13.466 -999.000 -999.000 -999.000 -999.000  0.227  0.034     1.230  0.000      0.000   1.049        RRAB  -999         a
