# FAKE_X_DATA REAL_DATA FAKE_Y_DATA
0.000000000000000000e+00 -9.000000000000000000e+00 -8.283875473959550817e+00
2.000000000000000042e-02 -8.986063999999998941e+00 -1.281051322836076878e+01
4.000000000000000083e-02 -8.972255999999999787e+00 -7.980170563052367605e+00
5.999999999999999778e-02 -8.958576000000000761e+00 -6.263782062891827707e+00
8.000000000000000167e-02 -8.945024000000000086e+00 -1.085117510607958735e+01
1.000000000000000056e-01 -8.931599999999999540e+00 -8.228840651886342172e+00
1.199999999999999956e-01 -8.918303999999999121e+00 -1.080212122139730013e+01
1.400000000000000133e-01 -8.905136000000002383e+00 -1.947243607844762892e+01
1.600000000000000033e-01 -8.892096000000000444e+00 -1.086001800825975394e+01
1.799999999999999933e-01 -8.879183999999998633e+00 -1.327656718764324140e+01
2.000000000000000111e-01 -8.866400000000000503e+00 -4.036432995372982724e+00
2.200000000000000011e-01 -8.853744000000000725e+00 -5.080101361196832421e+00
2.399999999999999911e-01 -8.841215999999999298e+00 -1.460158951327918686e+01
2.600000000000000089e-01 -8.828815999999999775e+00 -5.128535501031408650e+00
2.800000000000000266e-01 -8.816544000000000381e+00 -1.238530076462583551e+01
2.999999999999999889e-01 -8.804399999999999338e+00 -1.489554117344495943e+01
3.200000000000000067e-01 -8.792384000000000199e+00 -1.103565766091228895e+01
3.400000000000000244e-01 -8.780495999999999412e+00 3.288982591606618655e+00
3.599999999999999867e-01 -8.768736000000000530e+00 -1.328942181661798116e+01
3.800000000000000044e-01 -8.757104000000001776e+00 -1.786451341448836416e+01
4.000000000000000222e-01 -8.745599999999999596e+00 -9.219584014999897548e+00
4.199999999999999845e-01 -8.734223999999999322e+00 -5.796944771955136133e+00
4.400000000000000022e-01 -8.722975999999999175e+00 -8.872864563592726128e+00
4.600000000000000200e-01 -8.711855999999999156e+00 -1.116876611752134174e+01
4.799999999999999822e-01 -8.700863999999999265e+00 -1.451495479360152174e+01
5.000000000000000000e-01 -8.689999999999999503e+00 -1.190290107826228727e+01
5.200000000000000178e-01 -8.679263999999999868e+00 -1.700530504949622213e-01
5.400000000000000355e-01 -8.668656000000000361e+00 -1.189446412302735112e+01
5.600000000000000533e-01 -8.658175999999999206e+00 -4.739285520387682027e+00
5.799999999999999600e-01 -8.647823999999999955e+00 -4.852169825989596674e+00
5.999999999999999778e-01 -8.637600000000000833e+00 -3.168536848892177460e+00
6.199999999999999956e-01 -8.627504000000000062e+00 -1.128672003067187468e+01
6.400000000000000133e-01 -8.617535999999999419e+00 -1.034234402789788376e+01
6.600000000000000311e-01 -8.607696000000000680e+00 -7.497275217469512754e+00
6.800000000000000488e-01 -8.597984000000000293e+00 -5.656436882835751412e+00
6.999999999999999556e-01 -8.588400000000000034e+00 -4.072001379961486478e+00
7.199999999999999734e-01 -8.578943999999999903e+00 -1.255344451116172699e+01
7.399999999999999911e-01 -8.569615999999999900e+00 -1.189076878544380378e+00
7.600000000000000089e-01 -8.560416000000000025e+00 -8.035771511250805688e+00
7.800000000000000266e-01 -8.551344000000000278e+00 -6.724222442274693456e+00
8.000000000000000444e-01 -8.542400000000000659e+00 -1.697845186978275578e+00
8.199999999999999512e-01 -8.533583999999999392e+00 -1.273402611491037639e+01
8.399999999999999689e-01 -8.524896000000000029e+00 -7.559675016206495179e+00
8.599999999999999867e-01 -8.516336000000000794e+00 -7.543636522507353170e+00
8.800000000000000044e-01 -8.507903999999999911e+00 -4.658203225896590638e+00
9.000000000000000222e-01 -8.499600000000000932e+00 -1.053926847517054277e+01
9.200000000000000400e-01 -8.491424000000000305e+00 -7.062094335251872579e+00
9.399999999999999467e-01 -8.483375999999999806e+00 -8.908894235087927882e+00
9.599999999999999645e-01 -8.475455999999999435e+00 2.423659178099009992e+00
9.799999999999999822e-01 -8.467663999999999191e+00 -1.385033852278961852e+01
1.000000000000000000e+00 -8.460000000000000853e+00 -1.388181871737010198e+01
1.020000000000000018e+00 -8.452463999999999089e+00 -1.709860574561472646e+01
1.040000000000000036e+00 -8.445055999999999230e+00 -1.449806801076888796e+01
1.060000000000000053e+00 -8.437775999999999499e+00 -4.674592473606472787e+00
1.080000000000000071e+00 -8.430623999999999896e+00 -2.408976545706761563e+00
1.100000000000000089e+00 -8.423600000000000421e+00 -1.567154508456872541e+01
1.120000000000000107e+00 -8.416703999999999297e+00 -1.293549615505934192e+01
1.139999999999999902e+00 -8.409935999999998302e+00 -1.168056438020800414e+01
1.159999999999999920e+00 -8.403296000000000987e+00 -1.303256661757421320e+01
1.179999999999999938e+00 -8.396784000000000248e+00 -2.649125047310262993e+00
1.199999999999999956e+00 -8.390399999999999636e+00 -5.384726339902949910e+00
1.219999999999999973e+00 -8.384143999999999153e+00 -1.547888969551301841e+01
1.239999999999999991e+00 -8.378016000000000574e+00 -8.866847674387440037e+00
1.260000000000000009e+00 -8.372016000000000346e+00 -1.519675010760128231e+01
1.280000000000000027e+00 -8.366144000000000247e+00 -1.888955234295105967e+01
1.300000000000000044e+00 -8.360400000000000276e+00 -4.780117312742090618e+00
1.320000000000000062e+00 -8.354784000000000432e+00 -7.934400493961550005e+00
1.340000000000000080e+00 -8.349296000000000717e+00 1.877861520282406715e+00
1.360000000000000098e+00 -8.343935999999999353e+00 -6.130268914546176617e+00
1.379999999999999893e+00 -8.338703999999999894e+00 -6.842587244379239486e+00
1.399999999999999911e+00 -8.333600000000000563e+00 -3.130054409952451877e+00
1.419999999999999929e+00 -8.328623999999999583e+00 -1.658609838490938060e+01
1.439999999999999947e+00 -8.323776000000002284e+00 -1.042415594312022264e+01
1.459999999999999964e+00 -8.319055999999999784e+00 -3.936677758105172842e+00
1.479999999999999982e+00 -8.314464000000000965e+00 -1.067845279531101355e+01
1.500000000000000000e+00 -8.310000000000000497e+00 -1.217213573328187159e+01
1.520000000000000018e+00 -8.305664000000000158e+00 -8.751255187175914330e+00
1.540000000000000036e+00 -8.301455999999999946e+00 -9.667989685557078161e+00
1.560000000000000053e+00 -8.297375999999999863e+00 1.738853833824151707e+00
1.580000000000000071e+00 -8.293423999999999907e+00 1.514267292974633250e+00
1.600000000000000089e+00 -8.289600000000000080e+00 -3.251629174810553025e-01
1.620000000000000107e+00 -8.285904000000000380e+00 -1.099271585659792549e+01
1.639999999999999902e+00 -8.282336000000000809e+00 -1.076665919805873450e+01
1.659999999999999920e+00 -8.278895999999999589e+00 -9.554256573704936528e+00
1.679999999999999938e+00 -8.275584000000000273e+00 -1.037924659214537471e+00
1.699999999999999956e+00 -8.272399999999999309e+00 -3.698863283595239970e+00
1.719999999999999973e+00 -8.269344000000000250e+00 -5.811045478670255449e+00
1.739999999999999991e+00 -8.266415999999999542e+00 -3.975018774679412559e+00
1.760000000000000009e+00 -8.263616000000000739e+00 -5.173432509750444552e+00
