724.96 * 1.37
782.65 - 848.9
805.51 + 981.97
296.5 / 132.77
477.15 / 217.23
149.96 - 418.28
707.83 / 241.16
750.53 - 329.8
401.87 / 319.88
717.33 - 189.74
443.56 - 666.54
74.35 / 186.64
214.57 + 286.47
97.45 / 415.13
464.9 + 656.97
703.0 - 794.15
363.74 - 922.39
409.43 - 124.52
264.97 - 821.85
975.36 / 836.12
3.47 - 658.11
530.86 - 992.17
590.3 + 281.31
177.74 - 109.49
417.4 + 749.52
972.96 - 63.94
287.14 - 544.77
673.16 / 935.52
666.39 + 759.14
790.62 / 394.8
760.85 / 670.27
705.5 / 703.61
597.65 / 758.14
58.22 + 5.93
302.67 + 254.25
711.61 / 940.19
571.0 / 645.58
732.51 + 420.18
639.93 - 592.76
418.34 + 784.74
692.09 + 234.86
63.15 - 368.29
353.21 - 345.31
511.45 - 125.87
757.47 - 450.58
417.3 + 825.31
107.85 / 377.69
610.01 - 87.67
23.41 / 987.87
945.31 / 167.94
955.74 / 939.55
310.62 / 811.6
695.19 + 347.66
208.48 + 652.5
394.56 / 438.42
879.46 / 0.82
703.7 + 459.62
703.59 / 538.41
256.85 / 839.8
172.1 + 112.72
555.13 - 452.02
832.33 - 11.08
180.89 - 639.73
112.92 + 899.62
676.0 / 467.56
370.58 / 234.36
361.34 + 246.7
234.74 + 857.77
387.52 / 9.84
94.03 + 628.37
326.18 / 938.3
591.86 - 479.49
650.26 - 382.63
829.25 / 291.29
577.28 + 688.46
810.89 / 33.8
84.03 - 574.82
964.24 - 120.81
691.55 - 920.48
667.54 - 896.72
434.38 / 192.23
305.71 / 75.18
691.16 / 277.05
139.78 + 331.23
651.11 - 573.97
260.64 / 883.93
995.51 + 399.56
279.8 + 664.65
565.62 - 954.05
789.84 / 72.46
993.2 - 899.15
344.5 / 421.51
656.14 - 889.03
470.05 + 437.29
280.02 + 946.8
590.07 - 408.87
481.52 - 877.36
740.35 + 265.85
21.08 - 653.45
824.29 - 602.58
812.65 + 402.85
705.19 / 701.84
382.35 - 533.14
313.5 - 880.28
335.04 + 250.72
696.86 + 333.85
838.52 + 790.51
805.18 / 407.48
518.3 / 306.33
304.53 - 870.56
794.42 / 77.12
322.55 - 7.48
408.27 / 718.09
785.78 / 43.54
495.95 + 678.95
216.13 / 426.57
73.61 / 630.25
252.95 / 290.98
973.25 - 500.02
483.43 / 555.48
848.98 / 191.65
435.55 - 408.21
688.52 + 493.43
462.0 / 484.66
111.9 - 265.57
334.48 / 543.96
39.44 - 850.12
826.96 - 955.18
310.13 - 338.2
452.29 + 724.65
121.41 - 410.79
954.38 / 296.23
770.78 + 980.67
173.45 + 756.18
233.49 / 681.24
908.45 - 297.97
713.62 / 901.29
629.27 / 572.74
608.77 - 136.24
472.27 / 983.61
260.57 / 649.22
113.31 + 782.08
651.4 + 792.5
838.48 / 957.97
613.23 + 724.48
854.12 + 498.26
831.56 / 135.97
734.24 - 31.16
538.43 - 133.98
552.15 + 754.91
598.01 - 951.96
892.2 - 240.89
122.78 + 990.42
934.63 / 93.42
972.09 / 670.9
852.88 - 17.34
724.96 - 871.29
863.21 + 849.21
825.28 / 922.16
11.94 + 519.9
198.13 - 824.04
766.36 + 477.43
493.31 / 124.44
717.01 + 0.11
179.73 - 607.89
492.99 / 535.95
166.64 - 251.92
621.15 / 989.14
425.28 / 72.23
553.83 + 546.98
333.19 - 431.66
183.63 - 581.38
785.39 + 54.56
841.89 - 984.84
338.64 + 362.22
842.25 - 597.47
878.37 - 515.16
994.52 + 505.88
231.93 / 676.2
147.9 - 452.65
409.19 / 426.56
783.43 - 845.71
80.14 / 347.89
25.28 + 522.61
904.98 + 696.84
338.03 - 575.43
107.9 / 267.04
757.33 / 318.88
987.08 + 613.31
328.95 + 225.78
782.78 / 81.67
378.35 / 896.49
127.85 - 777.86
949.3 - 440.57
514.93 - 377.62
543.87 - 834.36
478.42 / 297.2
442.13 / 281.97
891.32 - 151.78
195.97 - 980.43
549.71 - 333.38
166.48 + 280.3
893.32 / 882.38
671.1 / 116.84
909.06 - 954.82
561.57 - 535.85
754.54 - 646.19
187.81 - 282.42
689.3 + 532.91
768.37 - 273.53
143.68 / 491.08
819.55 / 109.77
86.54 - 935.23
632.17 + 548.4
126.81 / 391.53
835.54 - 963.9
949.91 - 166.79
16.85 + 106.99
196.99 - 871.09
379.56 - 377.86
538.54 + 340.36
884.36 / 60.45
652.78 / 274.55
357.59 + 397.17
297.7 + 807.95
330.98 / 749.77
942.37 - 683.66
845.79 - 195.73
694.49 + 865.84
350.05 - 273.54
25.24 - 121.37
924.02 - 276.12
841.93 - 941.82
789.72 + 167.59
478.63 + 318.3
115.22 - 122.41
411.32 + 951.35
28.44 - 943.0
599.84 - 995.01
588.15 / 978.78
788.82 / 603.65
866.92 / 855.15
875.8 - 666.02
656.71 / 194.08
253.73 - 724.32
239.04 / 308.21
415.07 - 627.83
21.14 / 305.69
488.45 + 451.28
293.61 / 9.4
134.8 / 483.68
845.41 / 743.68
778.95 + 802.67
296.07 / 48.53
85.45 - 78.77
755.93 + 42.92
461.21 / 760.4
927.86 + 990.6
437.42 - 435.45
823.39 - 457.05
528.6 + 922.88
519.13 - 877.2
674.02 - 302.76
344.71 - 668.46
849.74 + 514.73
457.56 + 601.13
372.72 - 460.87
824.05 + 518.3
666.1 - 310.72
134.29 / 834.27
91.78 - 24.96
261.96 + 28.4
658.65 + 706.3
998.68 + 298.42
990.47 / 441.23
192.79 / 987.44
300.66 - 173.24
212.71 + 458.12
85.85 / 656.48
187.56 - 876.76
854.61 / 15.17
919.7 - 966.67
433.04 + 74.39
61.14 + 453.04
371.36 + 293.06
374.86 + 481.95
456.94 + 722.01
135.12 - 94.77
114.82 - 736.67
621.0 / 358.52
794.91 - 268.4
98.46 / 245.15
397.25 - 124.53
31.28 / 411.87
246.22 / 917.5
879.05 / 46.54
82.41 + 520.59
802.85 + 26.82
48.25 + 586.54
110.0 + 697.48
720.96 - 72.22
812.8 / 589.39
760.35 / 860.8
566.32 / 171.79
474.13 + 333.76
512.66 + 425.47
482.06 / 14.79
782.82 - 237.49
872.34 - 621.74
36.78 - 887.94
54.23 / 889.07
568.91 / 241.98
374.99 / 254.9
659.64 - 602.02
156.23 - 954.81
35.7 + 918.56
291.87 + 794.49
728.32 + 948.06
667.63 / 352.73
105.81 - 162.07
953.77 / 467.88
475.7 + 910.58
503.96 / 973.82
27.05 - 538.24
595.19 - 668.62
719.41 + 655.65
441.26 - 414.38
484.67 / 83.86
986.22 - 466.09
617.8 - 470.93
472.86 / 257.42
144.93 - 492.85
869.66 - 532.98
741.46 / 354.89
496.37 + 809.85
370.21 + 465.99
326.1 + 612.22
402.19 + 207.52
646.14 - 27.0
466.15 / 458.6
807.66 - 378.65
597.59 - 965.16
195.96 - 383.77
399.11 + 81.69
442.24 - 128.71
674.7 + 86.19
368.8 / 254.13
988.74 - 280.81
564.01 / 105.6
101.62 + 401.98
931.53 - 102.14
751.81 - 648.0
117.73 + 441.97
126.1 / 963.02
271.23 + 541.73
214.23 - 754.73
289.82 / 53.46
817.31 + 361.35
102.91 - 967.07
859.9 / 238.28
897.47 + 421.7
422.2 - 843.21
719.58 / 313.16
411.49 - 844.45
460.66 / 931.15
609.58 + 675.52
42.72 + 918.31
909.36 - 290.33
286.87 + 128.3
425.12 / 896.79
548.28 - 835.25
59.2 + 529.05
618.55 - 441.11
320.47 / 953.97
252.73 / 367.88
361.08 + 989.47
191.55 - 395.47
385.23 - 388.1
761.39 + 110.15
662.5 - 775.68
907.69 / 201.7
792.77 / 732.94
899.55 - 602.95
442.85 + 34.73
983.74 - 14.21
103.11 - 294.57
129.38 - 488.85
75.76 + 708.16
697.14 + 988.16
246.66 + 690.04
140.4 / 653.17
595.65 + 811.91
946.99 - 711.92
455.12 - 687.48
632.22 + 330.9
940.61 - 446.26
409.05 - 452.21
