# TBJD-2450000      FLUX           FLUX_ERR
  1354.1131991     -3.5355597      0.6838813
  1354.1145881     -3.0284873      0.6841874
  1354.1173659      0.7362481      0.6849412
  1354.1187548      1.0039511      0.6853946
  1354.1201437      2.0536179      0.6856015
  1354.1215327      2.9236379      0.6860147
  1354.1229216      3.1528239      0.6861270
  1354.1243105      1.7814821      0.6857486
  1354.1256994      2.6458713      0.6859725
  1354.1270884      2.3811034      0.6857366
  1354.1284773      1.4164379      0.6855566
  1354.1298662     -0.4446046      0.6848548
  1354.1312551     -1.2595744      0.6847583
  1354.1326441     -1.4852262      0.6846912
  1354.1340330     -2.6285800      0.6843489
  1354.1354219     -2.7525177      0.6843269
  1354.1368108     -4.5662974      0.6838393
  1354.1381997     -4.5305957      0.6839712
  1354.1395887     -5.5673236      0.6839841
  1354.1409776     -6.3665391      0.6835908
  1354.1423665     -5.5321609      0.6837134
  1354.1437554     -5.6947955      0.6837106
  1354.1451444     -5.2460679      0.6839021
  1354.1465333     -5.3471230      0.6838373
  1354.1479222     -4.7880554      0.6839548
  1354.1493111     -3.3106867      0.6843078
  1354.1507001     -3.2878041      0.6843033
  1354.1520890     -3.2577931      0.6844535
  1354.1534779     -2.9919470      0.6846411
  1354.1548668     -2.8033148      0.6845444
  1354.1562557     -2.5217144      0.6848496
  1354.1576447     -1.1259326      0.6851558
  1354.1590336     -1.9566567      0.6849882
  1354.1604225     -0.0410433      0.6852974
  1354.1618114      0.1169788      0.6854094
  1354.1632004     -0.1285604      0.6852825
  1354.1645893      0.8582689      0.6857461
  1354.1659782      2.0403196      0.6863362
  1354.1673671      0.4415291      0.6855944
  1354.1687560      1.3228706      0.6858926
  1354.1701450      0.4961000      0.6856400
  1354.1715339      1.5670920      0.6859253
  1354.1729228      0.2742821      0.6854566
  1354.1743117      0.6489106      0.6856496
  1354.1757007      0.6328568      0.6857133
  1354.1770896     -2.7180740      0.6847859
  1354.1784785     -2.6523612      0.6847656
  1354.1798674     -3.2934349      0.6846675
  1354.1812564     -4.9203795      0.6843135
  1354.1826453     -3.1024067      0.6845491
  1354.1840342     -4.7115004      0.6842069
  1354.1854231     -3.9619438      0.6846040
  1354.1868120     -4.3362129      0.6843151
  1354.1882010     -3.7361124      0.6844537
  1354.1895899     -4.6024184      0.6841764
  1354.1909788     -3.2648615      0.6847818
  1354.1923677     -2.7295153      0.6849141
  1354.1937567     -1.3551185      0.6850839
  1354.1951456     -1.9827142      0.6850765
  1354.1965345     -1.0606391      0.6853284
  1354.1979234      0.1600485      0.6854275
  1354.1993124      0.0441976      0.6856787
  1354.2007013      2.4535252      0.6865007
  1354.2020902      2.3808638      0.6861096
  1354.2034791      2.2990374      0.6861900
  1354.2048680      2.3992538      0.6862490
  1354.2062570      2.6768407      0.6862724
  1354.2076459      2.9171086      0.6865393
  1354.2090348      2.0966876      0.6859853
  1354.2104237      1.9528624      0.6860780
  1354.2118127      2.6999031      0.6863411
  1354.2132016      0.9473435      0.6855665
  1354.2145905      0.2030583      0.6858070
  1354.2159794      0.1508835      0.6855460
  1354.2173684     -0.6471939      0.6853724
  1354.2187573     -0.6858309      0.6852829
  1354.2201462     -2.8944261      0.6846622
  1354.2215351     -1.8164855      0.6849191
  1354.2229240     -2.0599881      0.6849966
  1354.2243130     -2.8453662      0.6846070
  1354.2257019     -3.1970522      0.6846199
  1354.2270908     -1.3882444      0.6851074
  1354.2284797     -2.2361605      0.6850348
  1354.2298687     -1.0461428      0.6852051
  1354.2312576     -0.1116680      0.6852415
  1354.2326465      0.5799032      0.6855850
  1354.2340354      2.7484239      0.6861947
  1354.2354243      2.5384666      0.6862803
  1354.2368133      4.4256864      0.6867120
  1354.2382022      4.7113601      0.6870892
  1354.2395911      5.0997662      0.6869241
  1354.2409800      6.3833511      0.6872277
  1354.2423690      6.5746789      0.6874778
  1354.2437579      7.4625497      0.6875535
  1354.2451468      6.4425346      0.6873887
  1354.2465357      6.5408940      0.6871069
  1354.2479247      6.3526812      0.6872772
  1354.2493136      4.7824041      0.6869296
  1354.2507025      3.8334330      0.6865076
  1354.2520914      3.0960365      0.6864060
  1354.2534803      3.1138874      0.6862382
  1354.2548693      2.1867207      0.6860590
  1354.2562582      1.0742165      0.6857837
  1354.2576471      1.5774551      0.6858328
  1354.2590360      1.4143413      0.6858447
  1354.2604250      1.6456238      0.6859200
  1354.2618139      2.7379410      0.6862677
  1354.2632028      3.3600856      0.6865515
  1354.2645917      3.7298620      0.6864038
  1354.2659806      5.0827539      0.6870559
  1354.2673696      4.8682440      0.6868149
  1354.2687585      5.7269425      0.6870328
  1354.2701474      4.7472415      0.6867863
  1354.2715363      6.8353734      0.6874102
  1354.2729253      7.3174665      0.6875728
  1354.2743142      7.8689265      0.6877448
  1354.2757031      8.1465134      0.6876902
  1354.2770920      8.5062862      0.6876933
  1354.2784810      6.8938380      0.6874038
  1354.2798699      6.8631680      0.6873875
  1354.2812588      8.3540147      0.6876888
  1354.2826477      7.7375010      0.6875451
  1354.2840366      6.5685688      0.6872472
  1354.2854256      6.0653901      0.6872238
  1354.2868145      4.4248477      0.6867058
  1354.2882034      4.4464125      0.6866623
  1354.2895923      3.8626653      0.6865435
  1354.2909813      2.9420279      0.6863839
  1354.2923702      2.8821856      0.6862238
  1354.2937591      3.2078141      0.6862044
  1354.2951480      3.8966299      0.6864909
  1354.2965369      2.8031745      0.6861779
  1354.2979259      3.4068093      0.6864154
  1354.2993148      3.4266369      0.6864514
  1354.3007037      3.1069387      0.6862795
  1354.3020926      4.6010801      0.6867450
  1354.3034816      6.7149699      0.6872185
  1354.3048705      8.7274452      0.6880424
  1354.3062594      9.0129393      0.6879140
  1354.3076483      9.8343186      0.6883211
  1354.3090373     11.1369526      0.6886751
  1354.3104262     13.8247656      0.6894298
  1354.3118151     12.0286572      0.6889924
  1354.3132040     13.2245453      0.6890192
  1354.3145929     13.0393276      0.6891431
  1354.3159819     10.7842482      0.6884936
  1354.3173708     11.2506470      0.6886735
  1354.3187597      9.8709788      0.6882937
  1354.3201486      8.0067016      0.6876922
  1354.3215376      8.5649904      0.6877654
  1354.3229265      7.8362199      0.6874639
  1354.3243154      7.3160289      0.6874726
  1354.3257043      7.1305716      0.6873425
  1354.3270932      6.0096810      0.6870400
  1354.3284822      6.8320189      0.6871996
  1354.3298711      5.3662113      0.6869255
  1354.3312600      6.8382487      0.6873233
  1354.3326489      6.3596299      0.6870296
  1354.3340379      6.0507740      0.6870699
  1354.3354268      7.6343493      0.6874155
  1354.3368157      8.6333987      0.6877034
  1354.3382046      9.2149296      0.6879751
  1354.3395935     10.9493388      0.6883929
  1354.3409825     11.5967621      0.6886303
  1354.3423714     12.4599532      0.6890196
  1354.3437603     12.8331441      0.6890277
  1354.3451492     13.2329316      0.6892384
  1354.3465382     13.3937092      0.6892441
  1354.3479271     13.6813597      0.6892189
  1354.3493160     12.8252370      0.6889673
  1354.3507049     13.1881247      0.6892937
  1354.3520938     11.9395226      0.6887866
  1354.3534828     12.5283616      0.6888434
  1354.3548717     11.5991582      0.6884627
  1354.3562606     11.7534663      0.6885680
  1354.3576495     11.2869477      0.6884899
  1354.3590385     11.1055638      0.6885444
  1354.3604274      9.4322549      0.6879080
  1354.3618163      8.1787408      0.6877727
  1354.3632052      8.4602813      0.6877073
  1354.3645942      9.0467241      0.6877835
  1354.3659831      8.9081104      0.6877698
  1354.3673720      8.2648802      0.6874758
  1354.3687609      9.7626756      0.6880787
  1354.3701498      9.4601693      0.6881015
  1354.3715388      9.8551646      0.6881462
  1354.3729277     10.0716513      0.6881905
  1354.3743166      9.8099983      0.6881282
  1354.3757055     11.6257548      0.6885295
  1354.3770945      9.6232232      0.6882061
  1354.3784834     10.6576149      0.6883357
  1354.3798723     11.8021069      0.6886352
  1354.3812612     11.3716495      0.6884863
  1354.3826501     12.6672149      0.6889420
  1354.3840391     11.5229625      0.6887781
  1354.3854280     12.9990733      0.6889306
  1354.3868169     14.3301009      0.6894213
  1354.3882058     12.2789287      0.6887241
  1354.3895948     13.1185183      0.6891212
  1354.3909837     13.5994135      0.6892373
  1354.3923726     13.6685406      0.6894104
  1354.3937615     13.9720053      0.6893032
  1354.3951504     13.1611687      0.6891441
  1354.3965394     13.7282032      0.6892573
  1354.3979283     11.9881633      0.6888277
  1354.3993172     12.1767355      0.6887052
  1354.4007061     12.1476230      0.6886752
  1354.4020951     11.7864125      0.6885448
  1354.4034840     10.8684708      0.6884812
  1354.4048729     12.1109628      0.6887550
  1354.4062618     11.5801093      0.6886231
  1354.4076507     13.4394745      0.6889493
  1354.4090397     12.4391072      0.6886176
  1354.4104286     12.3159483      0.6888648
  1354.4118175     11.1340772      0.6885597
  1354.4132064     11.3805150      0.6885503
  1354.4145954     10.8620013      0.6882759
  1354.4159843     10.6132873      0.6881425
  1354.4173732      8.7935773      0.6878690
  1354.4187621     10.1785169      0.6882452
  1354.4201510      8.4093644      0.6877589
  1354.4215400      7.4269678      0.6875269
  1354.4229289      7.8286722      0.6875174
  1354.4243178      8.6548437      0.6876679
  1354.4257067      9.4070959      0.6880215
  1354.4270957      9.2440421      0.6879590
  1354.4284846     10.9056101      0.6885183
  1354.4298735     13.4957826      0.6892705
  1354.4312624     15.0127467      0.6895514
  1354.4326513     15.8156762      0.6897599
  1354.4340403     17.8493569      0.6902764
  1354.4354292     16.9074542      0.6903144
  1354.4368181     17.7708850      0.6905125
  1354.4382070     18.0666822      0.6904409
  1354.4395960     16.8482708      0.6900918
  1354.4409849     17.4949753      0.6902745
  1354.4423738     17.5625450      0.6901977
  1354.4437627     15.6889231      0.6897967
  1354.4451516     14.2646876      0.6894443
  1354.4465406     12.4931391      0.6887688
  1354.4479295     12.7429314      0.6889120
  1354.4493184     11.2307594      0.6887398
  1354.4507073      9.3524651      0.6879388
  1354.4520963      8.3129218      0.6878483
  1354.4534852      7.4871096      0.6873851
  1354.4548741      6.0151920      0.6869580
  1354.4562630      7.4227747      0.6872588
  1354.4576519      5.3010376      0.6867201
  1354.4590409      5.3470426      0.6866990
  1354.4604298      6.5646153      0.6871708
  1354.4618187      7.8396942      0.6873528
  1354.4632076      8.1757457      0.6876275
  1354.4645966     10.1066342      0.6880810
  1354.4659855     11.0645907      0.6883613
  1354.4673744     11.8995080      0.6886416
  1354.4687633     13.6298438      0.6891635
  1354.4701522     15.1670548      0.6894941
  1354.4715412     16.4187718      0.6899050
  1354.4729301     15.5721137      0.6897318
  1354.4743190     18.1311370      0.6905911
  1354.4757079     18.3921909      0.6903712
  1354.4770969     17.6873813      0.6905440
  1354.4784858     18.4328046      0.6905075
  1354.4798747     16.7605740      0.6901338
  1354.4812636     15.7727862      0.6899919
  1354.4826525     14.9739300      0.6897373
  1354.4840415     15.7197128      0.6897291
  1354.4854304     15.0924166      0.6896478
  1354.4868193     12.1706254      0.6886185
  1354.4882082     10.8282165      0.6882804
  1354.4895972     10.2590255      0.6883686
  1354.4909861      7.9548263      0.6875814
  1354.4923750      8.4799292      0.6873587
  1354.4937639      5.4342602      0.6867376
  1354.4951528      5.1626635      0.6867086
  1354.4965418      5.9470233      0.6869639
  1354.4979307      4.6166547      0.6865892
  1354.4993196      3.2511833      0.6862522
  1354.5007085      5.7554560      0.6868800
  1354.5020975      5.4445634      0.6867517
  1354.5034864      5.8898766      0.6869870
  1354.5048753      6.5653341      0.6871981
  1354.5062642      7.8999558      0.6875738
  1354.5076531      7.8231612      0.6875190
  1354.5090421     10.6114902      0.6881451
  1354.5104310     11.9967892      0.6886916
  1354.5118199     13.7079563      0.6892896
  1354.5132088     15.1095487      0.6894151
  1354.5145978     16.4099063      0.6898422
  1354.5159867     17.1582050      0.6901370
  1354.5173756     15.4236760      0.6898271
  1354.5187645     17.1304103      0.6902114
  1354.5201534     14.6000203      0.6894618
  1354.5215424     14.2256314      0.6892217
  1354.5229313     13.1415208      0.6891171
  1354.5243202     12.0040972      0.6885726
  1354.5257091     11.1635491      0.6884299
  1354.5270980      8.0936796      0.6875810
  1354.5284870      7.7900951      0.6874077
  1354.5298759      6.0496957      0.6870651
  1354.5312648      6.0245368      0.6870455
  1354.5326537      4.0667522      0.6863844
  1354.5340427      4.3732120      0.6865286
  1354.5354316      3.7722129      0.6863977
  1354.5368205      3.2558557      0.6863665
  1354.5382094      2.1504199      0.6858960
  1354.5395983      4.1017351      0.6864551
  1354.5409873      3.2472897      0.6861071
  1354.5423762      1.7367351      0.6858163
  1354.5437651      2.2914897      0.6859081
  1354.5451540      2.3504335      0.6858888
  1354.5465430      2.7074508      0.6859485
  1354.5479319      3.8670981      0.6863494
  1354.5493208      4.4394639      0.6866349
  1354.5507097      6.7394100      0.6871673
  1354.5520986      6.0340013      0.6870464
  1354.5534876      8.2848876      0.6875270
  1354.5548765      9.4478295      0.6879658
  1354.5562654     11.0113975      0.6882928
  1354.5576543     12.1017379      0.6886392
  1354.5590433     14.3398050      0.6893318
  1354.5604322     13.2679145      0.6889237
  1354.5618211     14.0140567      0.6892378
  1354.5632100     13.6857925      0.6890636
  1354.5645989     14.1018734      0.6892807
  1354.5659879     12.9639706      0.6890894
  1354.5673768     11.6941631      0.6885513
  1354.5687657     10.0697344      0.6880316
  1354.5701546      9.3120910      0.6877198
  1354.5715436      6.3386641      0.6871212
  1354.5729325      4.0440492      0.6864799
  1354.5743214      4.1972791      0.6863256
  1354.5757103      1.3807961      0.6856512
  1354.5770992     -0.3383979      0.6853133
  1354.5784882     -2.7313723      0.6843648
  1354.5798771     -4.1897520      0.6840366
  1354.5812660     -4.1634549      0.6839807
  1354.5826549     -5.4426071      0.6836667
